Price,Vol,1DayAvg,14DayAvg,30DayAvg,180DayAvg
287.97,6.65904,289.77,298.1798630136986,298.1798630136986,298.1798630136986
285.39,42.89756,289.39799999999997,298.007027027027,298.007027027027,298.007027027027
292.17,35.00818,289.198,297.9291999999999,297.9291999999999,297.9291999999999
293.1,167.6975,289.1744,297.8656578947368,297.8656578947368,297.8656578947368
293.02,159.52169,289.33439999999996,297.80272727272717,297.80272727272717,297.80272727272717
292.59,4.86604,289.43160000000006,297.73589743589736,297.73589743589736,297.73589743589736
295.97,24.8355,289.76400000000007,297.7135443037974,297.7135443037974,297.7135443037974
292.59,51.53645,289.81320000000005,297.64949999999993,297.64949999999993,297.64949999999993
295.0,57.35344,290.17440000000005,297.6167901234567,297.6167901234567,297.6167901234567
296.39,6.09547,290.77440000000007,297.60182926829265,297.60182926829265,297.60182926829265
