,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,297.5564283,297.1607979,295.9863193,294.4797179,292.5884572,290.5092792,288.3863558,286.0609385,283.8113985,281.5901019,279.2759962,277.0720903,274.9144913,272.612061,270.5564034,268.4801128,266.4105519,264.2704082,262.3546699,260.1486777,258.092708,256.1557747,254.2697369,252.410985,250.6873729,248.9171702,247.1336065,245.2800946,243.6005482,241.9185163,240.426196,238.8518919,237.2894143,235.7515999,234.2483904,232.8691997,231.4355124,229.9578114,228.5252985,227.13144,225.4564641,224.0931441,222.739691,221.235666,219.9184615,218.6228396,217.0025647,215.7335501,214.4677182,213.2170913,211.9786857,210.765519,209.6462715,208.4676736,207.4551516,206.3014014,205.154264,204.0175396,202.8985119,201.792033,200.6965237,199.58698,198.5106522,197.4439058,196.397851,195.3666113,194.3419985,193.3242842,191.9848444,190.9891612,190.0017757,189.019969,188.0014585,187.0400099,186.099328,185.1610917,184.2286131,183.4313073,182.5146377,181.6696392,180.7714462,179.8814421,179.0591457,178.1936893,177.3323376,176.4741708,175.623435,174.8871917,174.1118072,173.2844997,172.4658643,171.6472703,170.8453253,170.0447777,169.2553089,168.4673059,167.6797618,166.3619607,165.5895128,164.8228583
11,299.2957563,299.4649498,298.8216165,297.4409996,295.9204688,294.1040289,292.091064,290.0068456,287.8701802,285.6087746,283.4423262,281.4187773,279.1680781,277.0425034,274.9633995,272.8950079,270.8554963,268.9828891,266.8135195,264.8991722,263.0982639,261.2214607,259.3636265,257.3918194,255.6088122,253.8621179,251.9694226,249.9200866,248.275607,246.6015085,245.0016314,243.388412,241.7405197,240.182843,238.3923211,236.8823892,235.369078,233.8842263,232.3656486,230.9243938,229.5062725,228.1872299,226.802614,225.4254802,224.1122415,222.7790998,221.4896444,220.1890233,219.0159036,217.7548841,216.5923276,215.36448,214.1742944,212.9742209,211.7713282,210.5960001,209.1521915,207.9500299,206.8299776,205.7062647,204.59235,203.4814687,202.3864664,201.3120706,200.349142,199.2905117,198.4652438,197.2847401,196.323116,195.3102735,194.3059621,193.3104712,192.3258232,191.3557535,190.3942323,188.8352259,187.8855789,186.9396588,186.00521,185.0750959,184.1548907,183.2435476,182.3403144,181.4599021,180.5724513,179.6960499,178.823944,177.9592131,177.097067,176.2466075,175.4031078,174.5664332,173.7640005,172.933703,172.1210165,171.3101807,170.5163023,169.71779,168.9251093,168.1335763
12,300.8588536,301.4542878,301.1968743,300.213724,298.9555078,297.4475389,295.6493532,293.7583103,291.7344778,289.6931823,287.6927113,285.879262,283.6251851,281.3865351,279.4327528,277.5638552,275.4495147,273.5041779,271.5935528,269.2548743,267.3672994,265.5172324,263.6889376,262.065432,260.3034634,258.5527028,256.7061037,254.76043,253.0824557,251.421761,249.8114124,248.3636097,246.7832564,245.2849463,243.7545168,242.2865653,240.8229191,239.195974,237.7394826,236.312107,234.9030524,233.1085514,231.7174138,230.0670873,228.6992663,227.407935,225.7464751,224.4552244,223.1124481,221.8274662,220.5659616,219.3131709,218.0706711,216.8574837,215.651455,214.4548605,213.2676308,212.1178095,210.955607,209.7550455,208.6454463,207.5392318,206.4369845,205.3406434,204.2557602,203.1821215,202.1115606,201.0542208,200.0128994,198.9972991,198.01745,197.0079974,196.0142263,195.0244318,194.0023372,193.0322434,192.0744544,191.1152432,190.2021541,189.2914069,188.460328,187.5411083,186.630023,185.7326373,184.8374374,183.9499305,183.0699529,182.1923241,181.3269787,180.4687671,179.6256456,178.8056241,177.9682923,177.1375642,176.3133118,175.4891779,174.6750269,173.8625391,173.0629126,172.3697445
13,302.2661501,303.2162172,303.2700221,302.7240351,301.5833325,300.2642089,298.6760445,296.880764,295.0656986,293.1300236,291.1318962,289.1179868,287.1885387,285.2053433,283.2621351,281.5645995,279.6208721,277.4512346,275.4703864,273.6885762,271.8993272,270.0963277,268.3155837,266.3764671,264.6442405,262.9184667,261.2316741,259.5598294,257.93158,256.3012026,254.5851057,253.0094661,251.4394594,249.9121486,248.4097011,247.1434292,245.6968335,244.2404287,242.8504295,240.6089612,238.704155,237.3488364,235.9742592,234.598907,233.249676,232.1737068,230.8510319,229.6051489,228.3227905,226.5266988,225.2601294,224.0277637,222.7908066,221.5774858,220.3667723,219.1438286,217.9351942,216.7642363,215.8782697,214.7353931,213.6090061,212.5311595,211.4288722,209.7935629,208.2255783,207.1511357,206.1104521,205.051479,204.0030725,202.9651423,201.9375063,200.9199858,199.9124055,198.4039656,197.407608,196.4231382,195.4477612,194.4159727,193.4579053,192.5109812,191.570411,190.6383618,189.7185805,188.8032444,187.8973903,187.0043234,186.1186714,185.2835317,184.4096262,183.543085,182.6797644,181.8930045,181.0478807,179.6488909,178.8125297,177.982746,177.1594117,176.3293163,175.8636979,175.0711437
14,303.4038161,304.8049367,305.1572684,304.8665545,303.9360012,302.793468,301.4108283,299.8648041,298.1676609,296.2597918,294.3846401,292.5342233,290.5247005,288.5917729,286.6094686,284.7369657,282.8236739,280.9241613,279.0685063,277.171341,275.319207,274.0176846,272.2527101,270.5328035,268.8299475,266.8774571,265.2085268,263.5334738,261.6860772,260.0863464,258.2966459,256.6792441,255.1064609,253.5858913,252.0510057,250.5408785,249.0480975,247.5821848,246.150411,244.7250109,243.3025368,241.9120217,240.5368789,239.1692039,237.8159315,236.4847149,235.1733487,233.8781532,232.598368,231.3370902,230.0770297,228.6765138,227.4422029,226.2302916,225.0356459,223.8421445,222.7459652,221.5782524,220.4324648,219.6071872,218.4871092,217.3819954,216.2757038,213.980384,212.8826639,211.7957469,210.721323,209.6667508,208.6130803,207.5697021,206.536792,205.5131866,204.4992063,203.4914798,202.565452,201.5779618,200.6221713,198.9009814,197.9384383,196.9834436,195.99732,195.0589144,194.1442537,193.2221325,192.3079291,191.4015034,190.5144188,189.6154166,188.7316612,187.8551415,186.9857254,186.1232821,185.2678046,184.4189212,183.6656939,182.8296077,181.9996285,181.1753003,180.3575902,179.5458327
15,304.5538908,306.1844887,306.8105606,306.7240868,306.1200133,304.9845344,303.7542462,302.3355377,300.7305284,299.2027256,297.4213884,295.552336,293.6117054,291.7983197,289.9361661,288.0699947,286.116176,284.200615,282.3157183,280.552652,278.7344389,276.8968261,275.1308713,273.4380403,271.7235051,269.9826888,268.2372492,266.9192422,265.2974003,263.7516512,262.1566269,260.8748932,259.3236471,257.6707264,256.1717572,254.6776628,253.2043074,251.4781234,250.2097026,248.790098,247.3686268,245.8073808,243.8808762,242.5032413,241.1485968,239.7531485,238.4312873,237.1131708,235.8241505,234.5284871,233.2544612,231.9910101,230.748225,229.5382748,228.3182189,227.1073473,225.9127758,224.7448059,223.5829538,222.4256379,221.2804606,220.1425257,219.0191835,217.9057227,216.8035236,215.712861,214.6293685,213.559436,212.4970054,211.4538694,210.4268791,209.3977444,208.3933354,207.3825775,206.3806238,205.3876598,204.2423149,203.2664777,202.3071544,201.34661,200.3957539,199.4608575,198.5263096,197.599898,196.6802114,195.774594,194.8706003,193.9738835,193.0746228,192.1553969,191.2705696,190.4025927,189.541224,187.234218,186.3808982,185.5339138,184.7011861,183.8670418,183.0390178,182.2089735
16,305.4751435,307.587617,308.3039811,308.5168545,308.0853506,307.1253759,305.988557,304.6867589,303.2250879,301.6355886,299.9730369,298.1965081,296.324248,294.4568427,292.5544462,290.7104962,288.8530549,286.9249989,285.5119519,283.7752042,281.8356079,280.0665212,278.3255249,276.5379181,274.8078174,273.092028,271.4139841,269.7200359,268.0959151,266.4624504,264.8959643,263.3119551,261.748111,260.1514206,258.7871912,257.281495,255.7261071,254.2460652,252.7759802,251.3291269,250.1591672,248.7581796,247.6064209,246.2268711,245.0212655,243.5300275,242.1959333,240.885778,239.5792897,238.2885967,237.0105319,235.7441075,234.5169326,233.3005751,232.085514,230.8841821,229.8618277,228.6740184,227.3935971,226.2296184,225.0770762,223.9357809,222.8055465,221.6950724,220.5856008,219.4875995,218.4111244,217.3478102,216.2805904,215.2225424,214.1576247,213.1185639,212.0888528,211.0683377,209.9902609,208.9949422,208.0006832,207.0151004,206.0379858,205.0691973,204.1146872,202.8070057,201.8631492,200.9377916,200.0089076,199.0876108,198.171016,197.2644994,196.3561604,195.4637923,194.5869416,193.7083112,192.8230852,191.9583505,191.0896762,190.2370845,189.3633329,188.5234384,187.6890772,186.8609238
17,306.250411,308.7294396,309.6362385,310.0741452,309.8840813,309.2027393,308.0642268,306.8303605,305.5170255,303.9663806,302.3815642,300.7445363,299.0355775,297.2813738,295.4304766,293.5199534,291.7251078,289.8100223,288.0147565,286.2308938,284.4415057,282.6585435,280.934235,279.0354853,277.3103919,275.5882529,273.976745,272.3179703,271.0865606,269.4891551,267.8545859,266.2738992,264.707866,263.0901222,261.5018729,259.9757766,258.4872151,256.9874788,255.5299627,254.1268273,252.6817946,251.2707335,249.8714617,248.4731658,247.0422052,245.6694136,244.3187819,243.2196642,241.8863409,240.5818925,239.2803159,237.9527755,236.6809857,235.4297894,234.1824274,232.8797443,231.6565959,230.446343,229.247072,228.0873213,226.9186512,225.7543221,225.0768366,223.939588,222.825877,221.6163439,220.5111906,219.4162821,218.3314863,217.2940798,216.2297486,215.1757903,214.1375046,213.1077803,212.0819972,211.0643839,210.0556477,209.0556468,208.2015842,207.2163408,206.2413318,205.2734475,204.3135816,203.3616027,202.4366839,201.5149962,200.5861671,199.6722426,198.7581116,197.8517962,196.9517875,196.0586511,195.1722648,194.2929569,193.4197094,192.5620567,191.687704,190.7866186,189.9386661,189.0966305
18,307.0495604,309.7618496,310.9154098,311.53686,311.5355368,311.04166,310.1628418,308.8970715,307.5514625,306.1646856,304.6303605,303.0544067,301.4011935,299.7083324,297.984529,296.2539728,294.4956366,292.6730479,290.8677939,289.1111252,287.2646286,285.5159955,283.6218092,281.8907578,280.1753051,278.4576378,276.8420219,275.1747821,273.5393955,271.9002204,270.2713336,268.6613298,266.8659463,265.3100522,263.7585363,262.2057674,260.6888778,259.1845926,257.8296141,257.2114957,255.7039424,254.2816072,252.8805786,251.4934838,250.1184249,248.7388888,247.1159578,245.733676,244.3980867,243.0107728,241.6958052,240.3816493,239.1608716,237.8908546,236.6342876,235.4304291,234.1980329,232.9774309,231.7688138,230.5919498,229.4066024,228.149735,227.0100501,225.8733271,224.7315013,223.6061268,222.462194,221.3618488,220.2615513,219.1712632,218.0914462,217.0207323,215.974679,214.9253211,213.8851323,212.8601388,211.8329441,210.8176527,209.8110884,208.8121933,207.8237809,206.9968306,206.0349633,205.2247133,204.267571,203.3181884,202.3613719,201.4271593,200.5003371,199.5807828,198.6684048,197.7711759,196.8727856,195.9811807,195.0956321,194.2185393,193.3465856,192.4684214,191.6090737,190.7558068
19,307.7691777,310.687469,311.9932473,312.7874091,312.9901301,312.6702443,312.0082849,311.0587287,309.5521742,308.1930251,306.6786851,305.1905852,303.6600638,302.0510821,300.2974286,298.574625,296.8563613,295.1522367,293.4269912,291.7200736,289.9016427,288.1871771,286.4705309,284.723274,283.0416329,281.3566929,279.7053662,278.067559,276.2931351,274.4420107,272.8063953,271.2160303,269.6211109,268.0377291,266.5061581,264.9752756,263.4394203,262.0101892,260.51033,259.0502547,257.5757086,256.1357943,254.6969578,253.2716369,251.8571273,250.4615415,248.8033083,247.4299259,246.063462,244.7258471,243.4142961,242.1129054,241.8645234,240.5975886,239.3297357,238.0908827,236.8490222,235.617104,234.3972251,233.2037757,231.9258075,230.7474806,229.5717356,228.4336461,227.2797803,226.1328652,225.0128339,223.8901742,222.7598053,221.6506535,220.5593453,219.4758696,218.400611,217.3520268,216.2978877,215.2594623,214.2224026,213.1940006,212.1742909,211.2414564,210.2409641,209.26331,208.2781495,207.3015286,206.3338128,205.3715702,204.4170043,203.4346565,202.4473237,201.5158001,200.5914935,199.6742853,198.7640575,197.8695572,196.9731216,196.0832262,195.1998442,194.32286,193.4521581,192.5876235
